iter	Logloss
0	0.6929449084
1	0.6927998384
2	0.6926387392
3	0.6925085533
4	0.6923338497
5	0.6922048087
6	0.6920360991
7	0.691856479
8	0.691686153
9	0.6915051859
10	0.6913514278
11	0.6911873653
12	0.6910282193
13	0.6908327721
14	0.690731681
15	0.6905757678
16	0.6904158809
17	0.6903110183
18	0.6901379984
19	0.6900379849
20	0.6899243669
21	0.6897885237
22	0.6896439251
23	0.6895511853
24	0.6893913658
25	0.6892728987
26	0.689147562
27	0.6890369073
28	0.6889415409
29	0.6888525727
30	0.6887840787
31	0.6886340921
32	0.6884493534
33	0.6883181573
34	0.688152007
35	0.6879749461
36	0.6878386315
37	0.6877043373
38	0.6875936827
39	0.6875121902
40	0.6873585668
41	0.6872451509
42	0.687102438
43	0.6869797953
44	0.6868397764
45	0.6867784887
46	0.6866581358
47	0.686572333
48	0.6864552128
49	0.6863426724
50	0.686205819
51	0.6860972522
52	0.6859632947
53	0.6858613955
54	0.685789938
55	0.6856759159
56	0.6855539467
57	0.6854343346
58	0.6853274515
59	0.6852390221
60	0.6851002829
61	0.6849458513
62	0.6848465787
63	0.6847326239
64	0.6846387392
65	0.6845575162
66	0.6844981816
67	0.6844086746
68	0.6842866379
69	0.6841958513
70	0.6840559671
71	0.6839718481
72	0.6838871228
73	0.6838477236
74	0.6837553879
75	0.6836154364
76	0.6835242457
77	0.6833905577
78	0.6832970097
79	0.6831831897
80	0.6830940194
81	0.6830045124
82	0.6829241649
83	0.6828193696
84	0.6827437365
85	0.6825981277
86	0.6825051859
87	0.6824142645
88	0.68234375
89	0.6822152478
90	0.682075229
91	0.6820447198
92	0.6819731277
93	0.6819040948
94	0.6818184941
95	0.6817162581
96	0.6816228448
97	0.6814228179
98	0.6813534483
99	0.6812405711
100	0.6811241245
101	0.681051118
102	0.6809760911
103	0.6809063847
104	0.6807699353
105	0.680708715
106	0.6806177263
107	0.6805005388
108	0.6803912985
109	0.6802623922
110	0.6801463497
111	0.680086611
112	0.6799934671
113	0.6798846983
114	0.679822535
115	0.6797778825
116	0.6796869612
117	0.6795703125
118	0.6794764278
119	0.679399111
120	0.6792774111
121	0.6791635237
122	0.6790742861
123	0.6790021552
124	0.6789384429
125	0.6788601832
126	0.6787098599
127	0.6786291756
128	0.678558055
129	0.6784845097
130	0.6784463901
131	0.678376549
132	0.6783010506
133	0.6782169989
134	0.6781171875
135	0.6780384564
136	0.6779404634
137	0.67784934
138	0.6777412446
139	0.6776852101
140	0.6775841191
141	0.67750559
142	0.6774220097
143	0.6773188982
144	0.6772610453
145	0.6771819774
146	0.6771176589
147	0.6769791218
148	0.6769504984
149	0.6768820717
150	0.6768244208
151	0.67676118
152	0.6766590787
153	0.6765927398
154	0.6765532058
155	0.6764921202
156	0.6764313712
157	0.6763514278
158	0.6762693292
159	0.6761845366
160	0.6761138874
161	0.6760328664
162	0.6759822872
163	0.6758514278
164	0.6757848869
165	0.6757036638
166	0.6755658675
167	0.6755084186
168	0.6754387796
169	0.6753369477
170	0.6752276401
171	0.67510493
172	0.6750249192
173	0.6749491514
174	0.6748862473
175	0.6747852909
176	0.6747233971
177	0.6746163793
178	0.6745521956
179	0.6744653825
180	0.6744051724
181	0.6743171471
182	0.6742233297
183	0.6741666218
184	0.6741351024
185	0.6741179283
186	0.6740340787
187	0.6739665948
188	0.6739141972
189	0.6738076509
190	0.6737377425
191	0.6736706627
192	0.6735666756
193	0.6734608028
194	0.6734111665
195	0.6733577586
196	0.6732937769
197	0.673239965
198	0.6732080415
199	0.673133688
