timestamp,stage,config_id,model,sharpe,acc,params
2026-02-16 22:12:19,screen,28,LightGBM,-0.2285,0.5054,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:19,screen,29,LightGBM,-0.1082,0.5163,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:20,screen,30,LightGBM,-0.3993,0.5066,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:21,screen,31,LightGBM,-0.4069,0.4982,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:22,screen,32,LightGBM,-0.3191,0.4994,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:23,screen,33,LightGBM,-0.2243,0.5115,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:24,screen,34,LightGBM,-0.2767,0.5078,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:25,screen,35,LightGBM,-0.2767,0.4982,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:26,screen,36,LightGBM,-0.2135,0.5078,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'device': 'gpu', 'gpu_platform_id': 0, 'gpu_device_id': 0}"
2026-02-16 22:12:26,screen,37,XGBoost,0.0836,0.4994,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:26,screen,38,XGBoost,0.2562,0.4994,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:27,screen,39,XGBoost,-0.1158,0.5042,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:27,screen,40,XGBoost,-0.2284,0.4934,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:27,screen,41,XGBoost,-0.1083,0.5066,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:28,screen,42,XGBoost,-0.2042,0.4982,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:28,screen,43,XGBoost,-0.2086,0.5018,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:28,screen,44,XGBoost,-0.2967,0.5018,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:29,screen,45,XGBoost,-0.0757,0.4910,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.03, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:29,screen,46,XGBoost,-0.0941,0.5018,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:29,screen,47,XGBoost,-0.4074,0.5042,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:30,screen,48,XGBoost,0.1255,0.5103,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:30,screen,49,XGBoost,-0.4901,0.5030,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:31,screen,50,XGBoost,-0.0975,0.4885,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:31,screen,51,XGBoost,-0.8454,0.4958,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:31,screen,52,XGBoost,-0.1416,0.4922,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:32,screen,53,XGBoost,0.0122,0.4934,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'reg_lambda': 0.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:12:32,screen,54,XGBoost,0.1033,0.5223,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
2026-02-16 22:13:40,validate,1,CatBoost,0.7954,0.5162,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:14:41,validate,2,CatBoost,0.6765,0.5189,"{'iterations': 200, 'depth': 3, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:15:45,validate,3,CatBoost,0.9455,0.5277,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 3.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:16:48,validate,4,CatBoost,0.9817,0.5304,"{'iterations': 200, 'depth': 4, 'learning_rate': 0.01, 'l2_leaf_reg': 1.0, 'task_type': 'GPU', 'devices': '0'}"
2026-02-16 22:16:50,validate,5,XGBoost,0.9401,0.5178,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'reg_lambda': 1.0, 'tree_method': 'hist', 'device': 'cuda'}"
